NAME;SKU;BARCODE;UNIT;COST PRICE;SALE PRICE;CURRENCY;STOCK QTITE;MIN STOCK;REORD QTE;CATEGORY;CATEGORY ID
SOJA 75CL;SKU-00209;PROD00207;PIECE;5125;6500;CDF;24;2;0;Huile;
SONAS ROSE;SKU-00210;PROD00208;PIECE;1600;2500;CDF;60;2;0;Savon;
SONAS BLANC;SKU-00211;PROD00209;PIECE;1600;2500;CDF;60;2;0;Savon;
SONAS JAUNE;SKU-00212;PROD00210;PIECE;1600;2500;CDF;60;2;0;Savon;
SONAS VERT;SKU-00213;PROD00211;PIECE;1600;2500;CDF;60;2;0;Savon;
SOUMAMOUSSE 1L;SKU-00214;PROD00212;PIECE;78000;8000;CDF;8;2;0;Huile;
SOUMAMOUSSE 5L;SKU-00215;PROD00213;PIECE;193800;29000;CDF;100;2;0;Spaguetti;
SOYOLA 5L;SKU-00216;PROD00214;PIECE;180000;32000;CDF;24;2;0;Spaguetti;
SPAGUETTI MARIANNA;SKU-00217;PROD00215;PIECE;1350;2500;CDF;40;2;0;Spaguetti;
SPAGUETTI RONI;SKU-00218;PROD00216;PIECE;1850;2500;CDF;20;2;0;Spaguetti;
SPRITE 500ML;SKU-00219;PROD00217;PIECE;90000;2000;CDF;80;2;0;Sucre;
SUCRE 195g;SKU-00220;PROD00218;PIECE;813;1000;CDF;60;2;0;Sucre;
SUCRE 1KG;SKU-00221;PROD00219;PIECE;4025;5000;CDF;20;2;0;Sucre;
SUNLIGHT;SKU-00222;PROD00220;PIECE;5375;6500;CDF;24;2;0;Savon;
SUPERSHEK GM;SKU-00223;PROD00221;PIECE;1500;2000;CDF;60;2;0;Boisson;
SUPERSHEK PM;SKU-00224;PROD00222;PIECE;813;1500;CDF;120;2;0;Boisson;
TANGAWISI;SKU-00225;PROD00223;PIECE;20000;1500;CDF;24;2;0;Cornebeef;
TASSEMBERG;SKU-00226;PROD00224;PIECE;114000;12000;CDF;24;2;0;Cornebeef;
TEXAS GM;SKU-00227;PROD00225;PIECE;8500;10000;CDF;24;2;0;Cornebeef;
TEXAS PM;SKU-00228;PROD00226;PIECE;165450;10000;CDF;24;2;0;Accessoires;
TIGE COTON BOIS;SKU-00229;PROD00227;PIECE;10000;500;CDF;50;2;0;Tomate;
TOMATE SALSA;SKU-00230;PROD00228;PIECE;715;1000;CDF;100;2;0;Tomate;
UNITY LAIT CONCENTRE;SKU-00231;PROD00229;PIECE;2750;3500;CDF;20;2;0;Lait;
VAP;SKU-00232;PROD00230;PIECE;47000;500;CDF;24;2;0;Biscuit;
VIANDE HACHEE;SKU-00233;PROD00231;kg;80000;10000;CDF;10;2;0;Vivre Frais;
VIGOR DOCTOR;SKU-00234;PROD00232;PIECE;25000;3500;CDF;36;2;0;Dentifrice;
VIM BOOM;SKU-00235;PROD00233;PIECE;2700;4500;CDF;12;2;0;Savon;
VINAIGRE GM;SKU-00236;PROD00234;PIECE;27000;2500;CDF;12;2;0;Vinaigre;
VINAIGRE PM;SKU-00237;PROD00235;PIECE;8000;1500;CDF;24;2;0;Vinaigre;
VINNIC GM;SKU-00238;PROD00236;PIECE;1125;1250;CDF;36;2;0;Pile;
VODY 22%;SKU-00239;PROD00237;PIECE;2850;4500;CDF;24;2;0;Boisson;
YES ENERGY;SKU-00240;PROD00238;PIECE;335;500;CDF;960;2;0;Boisson;
YOGO;SKU-00241;PROD00239;PIECE;700;1500;CDF;96;2;0;Boisson;
ZAMZEEP 1L;SKU-00242;PROD00240;PIECE;6000;8500;CDF;30;2;0;Boisson;
Yaourt local;SKU-00243;PROD00241;PIECE;3000;4500;CDF;20;2;0;Yahourt;
SOFTCARE N4;SKU-00244;;PIECE;13000;15000;CDF;6;2;0;Pampers;
CRYSTAL 3L;SKU-00245;;PIECE;16000;18500;CDF;6;2;0;Huile;
